598,#folkgreen,4,0.090497738
657,#global_creatives,4,0.090497738
658,#global_hotshotz,4,0.090497738
661,#globalcapture,4,0.090497738
684,#greenery,4,0.090497738
685,#greenlife,4,0.090497738
722,#hiking,4,0.090497738
763,#ig_color,4,0.090497738
828,#igworldglobal,4,0.090497738
852,#instadaily,4,0.090497738
903,#justgoshoot,4,0.090497738
915,#keepitwild,4,0.090497738
947,#landscape_hunter,4,0.090497738
949,#landscape_lovers,4,0.090497738
951,#landscape_photography,4,0.090497738
957,#landscapelover,4,0.090497738
1031,#longexposure,4,0.090497738
1056,#macro,4,0.090497738
1062,#madrussians,4,0.090497738
1065,#main_vision,4,0.090497738
1074,#master_shots,4,0.090497738
1159,#natgeoru,4,0.090497738
1202,#naturelove,4,0.090497738
1208,#natureonly,4,0.090497738
1212,#naturephotographer,4,0.090497738
1273,#onlinetravelling,4,0.090497738
1357,#picture,4,0.090497738
1359,#pictureoftheday,4,0.090497738
1366,#pixel_ig,4,0.090497738
1400,#praggram,4,0.090497738
1401,#prague,4,0.090497738
1402,#praguelife,4,0.090497738
1491,#skyporn,4,0.090497738
1527,#splendid_earth,4,0.090497738
1604,#theoutbound,4,0.090497738
1608,#theweekoninstagram,4,0.090497738
1622,#tlpicks,4,0.090497738
1686,#traveltheworld,4,0.090497738
1797,#vscorussia,4,0.090497738
1825,#welltraveled,4,0.090497738
1861,#wildlifephotography,4,0.090497738
1880,#wondermore,4,0.090497738
49,#alberta,3,0.067873303
51,#allaboutadventures,3,0.067873303
52,#allgÃ¤u,3,0.067873303
90,#animalplanet,3,0.067873303
97,#arizona,3,0.067873303
102,#art,3,0.067873303
104,#artoftheday,3,0.067873303
130,#awesome_photographers,3,0.067873303
150,#banff,3,0.067873303
151,#banffcanada,3,0.067873303
153,#banffnationalpark,3,0.067873303
164,#bbctravel,3,0.067873303
173,#bealpine,3,0.067873303
174,#beautiful,3,0.067873303
182,#beautifulmatters,3,0.067873303
185,#beautifulplaces,3,0.067873303
194,#bergpic,3,0.067873303
264,#canoncanada,3,0.067873303
348,#depthobsessed,3,0.067873303
364,#discovery,3,0.067873303
394,#dream_image,3,0.067873303
451,#EarthOfficial,3,0.067873303
466,#earthscope,3,0.067873303
469,#earthvisuals,3,0.067873303
473,#eclectic_shotzÂ,3,0.067873303
474,#ecology,3,0.067873303
519,#exklusive_shot,3,0.067873303
524,#explorealberta,3,0.067873303
526,#explorecanada,3,0.067873303
537,#explorer,3,0.067873303
570,#feelthealps,3,0.067873303
576,#fiftyshades_of_nature,3,0.067873303
585,#flower,3,0.067873303
634,#garden,3,0.067873303
646,#getoutside,3,0.067873303
663,#globe_travel,3,0.067873303
683,#green,3,0.067873303
725,#hikingadventures,3,0.067873303
743,#hubs_united,3,0.067873303
782,#ig_naturelovers,3,0.067873303
833,#imagesofcanada,3,0.067873303
895,#jaw_dropping_shots,3,0.067873303
973,#landscapestyles_gf,3,0.067873303
1026,#longexpo_addiction,3,0.067873303
1034,#longexposure_shots,3,0.067873303
1036,#longexposureoftheday,3,0.067873303
1057,#macrophotography,3,0.067873303
1063,#magicpict,3,0.067873303
1093,#modernoutdoors,3,0.067873303
1123,#mountaineering,3,0.067873303
1132,#mountainstones,3,0.067873303
1157,#natgeolandscape,3,0.067873303
1162,#natgeowild,3,0.067873303
